G,Date,Time,Day,School,,Opponent,Conf,,Pts,Opp,W,L,Streak,Notes
1,Aug 31 2013,8:00 PM,Sat,(18) Nebraska,,Wyoming,MWC,W,37,34,1,0,W 1,
2,Sep 7 2013,6:00 PM,Sat,(22) Nebraska,,Southern Mississippi,CUSA,W,56,13,2,0,W 2,
3,Sep 14 2013,12:00 PM,Sat,(23) Nebraska,,(16) UCLA,Pac-12,L,21,41,2,1,L 1,
4,Sep 21 2013,3:30 PM,Sat,Nebraska,,South Dakota State,Non-Major,W,59,20,3,1,W 1,
5,Oct 5 2013,12:00 PM,Sat,Nebraska,,Illinois,Big Ten,W,39,19,4,1,W 2,
6,Oct 12 2013,12:00 PM,Sat,Nebraska,@,Purdue,Big Ten,W,44,7,5,1,W 3,
7,Oct 26 2013,12:00 PM,Sat,(25) Nebraska,@,Minnesota,Big Ten,L,23,34,5,2,L 1,
8,Nov 2 2013,3:30 PM,Sat,Nebraska,,Northwestern,Big Ten,W,27,24,6,2,W 1,
9,Nov 9 2013,3:30 PM,Sat,Nebraska,@,Michigan,Big Ten,W,17,13,7,2,W 2,
10,Nov 16 2013,3:30 PM,Sat,Nebraska,,(14) Michigan State,Big Ten,L,28,41,7,3,L 1,
11,Nov 23 2013,3:30 PM,Sat,Nebraska,@,Penn State,Big Ten,W,23,20,8,3,W 1,
12,Nov 29 2013,12:00 PM,Fri,Nebraska,,Iowa,Big Ten,L,17,38,8,4,L 1,
13,Jan 1 2014,12:00 PM,Wed,Nebraska,N,(23) Georgia,SEC,W,24,19,9,4,W 1,Gator Bowl (Jacksonville FL)
