DATE,TIME,RACE,SEX,REASON,OUTCOME,SEARCH,FID
2019/01/03 00:00:00+00,18:37:XX,1,1,1,1,1,1
2019/01/03 00:00:00+00,18:40:XX,1,1,1,1,1,2
2019/01/03 00:00:00+00,19:00:XX,2,1,1,1,4,3
2019/01/03 00:00:00+00,19:08:XX,1,1,1,1,1,4
2019/01/03 00:00:00+00,19:18:XX,3,1,1,2,1,5
2019/01/03 00:00:00+00,19:20:XX,4,2,1,1,1,6
2019/01/03 00:00:00+00,19:54:XX,1,2,1,2,1,7
2019/01/03 00:00:00+00,19:54:XX,1,2,1,1,1,8
2019/01/03 00:00:00+00,20:06:XX,2,1,1,1,1,9
2019/01/03 00:00:00+00,20:11:XX,1,1,1,1,1,10
2019/01/03 00:00:00+00,20:23:XX,1,2,1,5,4,11
2019/01/03 00:00:00+00,20:30:XX,5,2,1,1,1,12
2019/01/03 00:00:00+00,20:41:XX,2,1,1,2,1,13
2019/01/03 00:00:00+00,20:44:XX,1,2,1,1,1,14
2019/01/03 00:00:00+00,20:45:XX,1,2,1,1,1,15
2019/01/03 00:00:00+00,21:00:XX,1,1,1,1,1,16
2019/01/03 00:00:00+00,21:15:XX,1,2,1,1,1,17
2019/01/03 00:00:00+00,21:25:XX,1,1,1,2,1,18
2019/01/03 00:00:00+00,21:34:XX,2,1,1,3,5,19
2019/01/03 00:00:00+00,21:35:XX,1,1,1,1,1,20
2019/01/03 00:00:00+00,21:40:XX,2,2,1,1,1,21
2019/01/03 00:00:00+00,21:48:XX,1,1,1,2,1,22
2019/01/03 00:00:00+00,21:48:XX,1,1,1,2,1,23
2019/01/03 00:00:00+00,21:55:XX,1,2,1,1,1,24
2019/01/03 00:00:00+00,22:00:XX,1,1,1,1,1,25
2019/01/03 00:00:00+00,22:40:XX,4,1,1,1,1,26
2019/01/03 00:00:00+00,23:00:XX,1,1,1,1,1,27
2019/01/03 00:00:00+00,23:40:XX,3,1,1,1,1,28
2019/01/03 00:00:00+00,23:45:XX,1,1,1,2,1,29
2019/01/03 00:00:00+00,23:49:XX,1,1,1,1,1,30
2019/01/03 00:00:00+00,23:50:XX,3,1,1,1,1,31
2019/01/03 00:00:00+00,23:54:XX,1,2,1,3,1,32
2019/01/04 00:00:00+00,00:01:XX,1,2,1,2,1,33
2019/01/04 00:00:00+00,00:05:XX,1,1,1,1,1,34
2019/01/04 00:00:00+00,00:13:XX,1,2,1,1,1,35
2019/01/04 00:00:00+00,00:25:XX,1,2,1,2,1,36
2019/01/04 00:00:00+00,00:30:XX,1,1,1,1,1,37
2019/01/04 00:00:00+00,00:41:XX,1,2,1,4,4,38
2019/01/04 00:00:00+00,00:47:XX,1,1,1,2,1,39
2019/01/04 00:00:00+00,00:52:XX,1,1,1,1,1,40
2019/01/04 00:00:00+00,00:56:XX,1,2,1,1,1,41
2019/01/04 00:00:00+00,01:05:XX,4,1,1,1,1,42
