RKY,DOA,TOA,LOCAT,TYPE,ACTION,NUV,NOI,PED,BIKE,MC,MOPED,TRAIN,TRUCK,BUS,FID
B3-025639,2013/03/23 00:00:00+00,1320,"CORNHUSKER,N 19 to N 20",INJURY,REAR END,2,1,NO,NO,NO,NO,NO,NO,NO,2029
B3-026382,2013/03/26 00:00:00+00,721,N 48 at CORNHUSKER,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,NO,NO,2030
B3-028583,2013/04/01 00:00:00+00,1154,UNKNOWN at -,NON-INJ H&R,UNKNOWN,2,0,NO,NO,NO,NO,NO,NO,NO,2031
B3-024763,2013/03/21 00:00:00+00,1000,"FLETCHER,MERIDIAN DR to RIDGE PARK DR",NON-INJ,UNKNOWN,2,0,NO,NO,NO,NO,NO,YES,NO,2032
B3-027748,2013/03/30 00:00:00+00,1150,"N 29,PEAR to VINE",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,2033
B3-024235,2013/03/20 00:00:00+00,1639,"S 14,MOCKINGBIRD N to PINE LAKE",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,YES,NO,2034
B3-026996,2013/03/28 00:00:00+00,1313,"N 14,P to Q",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,2035
B3-023381,1970/01/01 00:00:00+00,9999,101 N 14 at PARKING GARAGE,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,2036
B3-028584,2013/04/01 00:00:00+00,1208,"S 17,N to O",NON-INJ,REAR END,4,0,NO,NO,NO,NO,NO,YES,NO,2037
B3-025641,2013/03/23 00:00:00+00,1415,4230 N 27 at PARKING LOT,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,YES,NO,2038
B3-026389,2013/03/26 00:00:00+00,735,"FLETCHER,N 14 to N 7",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,2039
B3-024774,2013/03/21 00:00:00+00,845,OLD CHENEY at NEBR HWY,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,YES,NO,2040
B3-027796,2013/03/30 00:00:00+00,1241,SURREY at CANTERBURY,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,NO,NO,2041
B3-024241,2013/03/20 00:00:00+00,1650,"S 9,PEACH to ROSE",NON-INJ,REAR END,3,0,NO,NO,NO,NO,NO,NO,NO,2042
B3-023463,2013/03/18 00:00:00+00,1004,S 14 at NEBR HWY,INJURY,RIGHT ANGLE,2,1,NO,NO,NO,NO,NO,YES,NO,2043
B3-027006,1970/01/01 00:00:00+00,9999,ASTER RD at NW 7,NON-INJ H&R,,1,0,NO,NO,NO,NO,NO,NO,NO,2044
B3-028589,2013/04/01 00:00:00+00,1240,S 70 at PIONEERS,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,NO,NO,2045
B3-026403,2013/03/26 00:00:00+00,756,S 60 at NORMAL,NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,2046
B3-025644,2013/03/23 00:00:00+00,1430,"NEBR HWY,OLD CHENEY to S 56",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,2047
