DATE,TIME,RACE,SEX,REASON,OUTCOME,SEARCH,FID
2017/01/03 00:00:00+00,20:40:XX,4,1,1,1,1,94
2017/01/03 00:00:00+00,20:41:XX,1,1,1,2,1,95
2017/01/03 00:00:00+00,20:49:XX,1,2,1,1,1,96
2017/01/03 00:00:00+00,20:52:XX,1,1,1,2,1,97
2017/01/03 00:00:00+00,21:06:XX,1,1,1,5,1,98
2017/01/03 00:00:00+00,21:13:XX,1,2,1,1,1,99
2017/01/03 00:00:00+00,21:23:XX,2,1,1,2,1,100
2017/01/01 00:00:00+00,13:10:XX,1,1,1,5,1,101
2017/01/01 00:00:00+00,13:12:XX,1,1,1,2,1,102
2017/01/01 00:00:00+00,13:34:XX,1,2,1,1,1,103
2017/01/01 00:00:00+00,13:36:XX,2,1,2,4,1,104
2017/01/01 00:00:00+00,13:40:XX,1,2,1,1,1,105
2017/01/01 00:00:00+00,14:38:XX,2,2,1,2,1,106
2017/01/01 00:00:00+00,14:48:XX,1,1,1,1,1,107
2017/01/01 00:00:00+00,15:00:XX,1,2,1,2,1,108
2017/01/01 00:00:00+00,15:17:XX,6,1,1,5,1,109
2017/01/01 00:00:00+00,15:18:XX,2,1,1,2,1,110
2017/01/01 00:00:00+00,16:08:XX,3,2,1,4,1,111
2017/01/01 00:00:00+00,16:20:XX,1,2,1,5,1,112
2017/01/01 00:00:00+00,16:28:XX,1,1,1,1,1,113
2017/01/01 00:00:00+00,16:50:XX,1,1,1,1,1,114
2017/01/01 00:00:00+00,17:00:XX,1,2,1,1,1,115
2017/01/01 00:00:00+00,17:05:XX,1,1,1,1,1,116
2017/01/01 00:00:00+00,17:17:XX,2,1,1,1,1,117
2017/01/01 00:00:00+00,17:35:XX,1,2,1,1,1,118
2017/01/01 00:00:00+00,18:28:XX,1,1,1,2,1,119
2017/01/01 00:00:00+00,18:58:XX,1,1,1,1,1,120
2017/01/01 00:00:00+00,19:04:XX,1,2,1,2,1,121
2017/01/01 00:00:00+00,19:13:XX,1,1,1,2,1,122
2017/01/01 00:00:00+00,19:18:XX,1,1,1,1,1,123
2017/01/01 00:00:00+00,19:25:XX,6,1,1,2,1,124
2017/01/01 00:00:00+00,19:39:XX,1,2,1,2,1,125
2017/01/01 00:00:00+00,19:51:XX,2,1,1,2,1,126
2017/01/01 00:00:00+00,20:10:XX,1,2,1,2,1,127
2017/01/01 00:00:00+00,20:12:XX,3,1,1,5,1,128
2017/01/01 00:00:00+00,20:19:XX,1,2,1,1,1,129
2017/01/01 00:00:00+00,20:20:XX,1,1,1,1,1,130
2017/01/01 00:00:00+00,20:42:XX,2,1,1,2,1,131
