G,Date,Time,Day,School,,Opponent,Conf,,Pts,Opp,W,L,Streak,Notes
1,Sep 5 2015,3:30 PM,Sat,Nebraska,,BYU,Ind,L,28,33,0,1,L 1,
2,Sep 12 2015,8:00 PM,Sat,Nebraska,,South Alabama,Sun Belt,W,48,9,1,1,W 1,
3,Sep 19 2015,3:30 PM,Sat,Nebraska,@,Miami (FL),ACC,L,33,36,1,2,L 1,
4,Sep 26 2015,12:00 PM,Sat,Nebraska,,Southern Mississippi,CUSA,W,36,28,2,2,W 1,
5,Oct 3 2015,4:00 PM,Sat,Nebraska,@,Illinois,Big Ten,L,13,14,2,3,L 1,
6,Oct 10 2015,3:30 PM,Sat,Nebraska,,Wisconsin,Big Ten,L,21,23,2,4,L 2,
7,Oct 17 2015,3:30 PM,Sat,Nebraska,@,Minnesota,Big Ten,W,48,25,3,4,W 1,
8,Oct 24 2015,12:00 PM,Sat,Nebraska,,Northwestern,Big Ten,L,28,30,3,5,L 1,
9,Oct 31 2015,12:00 PM,Sat,Nebraska,@,Purdue,Big Ten,L,45,55,3,6,L 2,
10,Nov 7 2015,7:00 PM,Sat,Nebraska,,(6) Michigan State,Big Ten,W,39,38,4,6,W 1,
11,Nov 14 2015,3:30 PM,Sat,Nebraska,@,Rutgers,Big Ten,W,31,14,5,6,W 2,
12,Nov 27 2015,3:30 PM,Fri,Nebraska,,(3) Iowa,Big Ten,L,20,28,5,7,L 1,
13,Dec 26 2015,9:15 PM,Sat,Nebraska,N,UCLA,Pac-12,W,37,29,6,7,W 1,Foster Farms Bowl (Santa Clara CA)
