RKY,DOA,TOA,FIXTIME,LOCAT,TYPE,ACTION,NUV,NOI,PED,BIKE,MC,MOPED,TRAIN,TRUCK,BUS,ObjectId,ObjectId2
B8-061196,2018/07/05 05:00:00+00,,12:00:00,7130 S 91 at PARKING LOT,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,,4678
B8-061248,2018/07/06 05:00:00+00,2323,11:23:00,"O,84 to RUSSWOOD PKWY",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,,4679
B8-061277,2018/07/07 05:00:00+00,107,01:07:00,N 44 at ADAMS,INJURY H&R,RIGHT ANGLE,2,2,NO,NO,YES,NO,NO,NO,NO,,4680
B8-061298,2018/07/07 05:00:00+00,220,02:20:00,"DAKOTA,S 14 to S 16",INJURY H&R,PARKED,3,0,NO,NO,NO,NO,NO,NO,NO,,4681
B8-061303,2018/07/06 05:00:00+00,,12:00:00,"SUPERIOR,N 33 to N 40",NON-INJ,OTHER,1,0,NO,NO,NO,NO,NO,YES,NO,,4682
B8-061310,2018/07/07 05:00:00+00,215,02:15:00,3205 S 13 at PARKING LOT,NON-INJ H&R,,1,0,NO,NO,NO,NO,NO,NO,NO,,4683
B8-061372,2018/07/07 05:00:00+00,1012,10:12:00,1440 S 17 at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,,4684
B8-061379,2018/07/06 05:00:00+00,,12:00:00,"S 23,A to WASHINGTON",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,,4685
B8-061384,2018/07/07 05:00:00+00,1115,11:15:00,OLD CHENEY at NEBR HWY,NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,,4686
B8-061409,2018/07/07 05:00:00+00,1240,12:40:00,"S 10,HILL ST to VAN DORN",NON-INJ H&R,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,,4687
B8-061410,2018/06/29 05:00:00+00,,12:00:00,"N 72,ADAMS to HALLMARK RD",NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,,4688
B8-061417,2018/07/07 05:00:00+00,1348,01:48:00,"HOLDREGE,N 69 to N 70",INJURY,REAR END,3,1,NO,NO,NO,NO,NO,YES,NO,,4689
B8-061425,2018/07/07 05:00:00+00,1430,02:30:00,N 27 at W,INJURY,RIGHT ANGLE,1,1,NO,YES,NO,NO,NO,NO,NO,,4690
B8-061441,2018/07/07 05:00:00+00,1515,03:15:00,"OLD CHENEY,S 90 to S 93",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,,4691
B8-061442,2018/07/07 05:00:00+00,1520,03:20:00,S 17 at F,INJURY,SIDE SWIPE,2,1,NO,NO,NO,NO,NO,YES,NO,,4692
B8-061449,2018/07/07 05:00:00+00,1552,03:52:00,N 66 at GLADSTONE,INJURY,RIGHT ANGLE,2,1,NO,NO,NO,NO,NO,YES,NO,,4693
B8-061467,2018/07/07 05:00:00+00,1739,05:39:00,"BENTON,N 60 to N 61",NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,,4694
B8-061474,2018/07/07 05:00:00+00,1813,06:13:00,S 9 at F,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,YES,NO,,4695
B8-061475,2018/07/07 05:00:00+00,1819,06:19:00,N 14 at SUPERIOR,NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,,4696
B8-061488,2018/07/07 05:00:00+00,1902,07:02:00,S 27 at GRAINGER PKWY,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,YES,NO,,4697
B8-061583,2018/07/07 05:00:00+00,2305,11:05:00,"N 27,OLD DAIRY RD to DAN",INJURY H&R,SIDE SWIPE,2,2,NO,NO,YES,NO,NO,NO,NO,,4698
B8-061595,2018/07/07 05:00:00+00,2315,11:15:00,"S 56,GLADE to NORMAL",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,,4699
B8-061667,2018/07/08 05:00:00+00,240,02:40:00,S 70 at VAN DORN,INJURY,RIGHT ANGLE,2,3,NO,NO,NO,NO,NO,NO,NO,,4700
B8-061692,2018/07/08 05:00:00+00,550,05:50:00,2300 S 16 at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,,4701
B8-059328,2018/07/02 05:00:00+00,1141,11:41:00,W 20 at W O,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,YES,NO,,4702
B8-058915,2018/07/01 05:00:00+00,921,09:21:00,S 29 at F,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,,4703
B8-058162,2018/06/29 05:00:00+00,1330,01:30:00,N 84 at HOLDREGE,INJURY,TURNING,2,3,NO,NO,NO,NO,NO,NO,NO,,4704
B8-060158,2018/07/04 05:00:00+00,1015,10:15:00,"S 56,BANCROFT to CALVERT",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,YES,NO,,4705
B8-059329,2018/07/02 05:00:00+00,1142,11:42:00,"CORNHUSKER,N 48 to SUPERIOR",INJURY,REAR END,3,1,NO,NO,NO,NO,NO,YES,NO,,4706
B8-062618,2018/07/10 05:00:00+00,,12:00:00,UNKNOWN at -,NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,,4707
B8-058163,2018/06/29 05:00:00+00,1328,01:28:00,"S 48,ANTELOPE CREEK to NORMAL",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,,4708
B8-060171,2018/07/04 05:00:00+00,,12:00:00,W ZEAMER at W KINGSLEY,NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,,4709
B8-059331,2018/07/02 05:00:00+00,1145,11:45:00,"S 62,ROSEBUD to TANGLEWOOD CR",NON-INJ H&R,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,,4710
B8-061828,2018/07/08 05:00:00+00,1400,02:00:00,"S 27,NEBR HWY to WOODS BLVD",INJURY,REAR END,2,1,NO,NO,NO,NO,NO,NO,NO,,4711
B8-059338,2018/07/01 05:00:00+00,,12:00:00,"R, to",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,,4712
B8-062490,2018/07/10 05:00:00+00,1345,01:45:00,"VINE,N 45 to N 48",NON-INJ H&R,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,,4713
B8-059343,2018/07/02 05:00:00+00,,12:00:00,5440 SHADY CREEK at PARKING LOT,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,,4714
B8-059816,2018/07/03 05:00:00+00,1540,03:40:00,S 21 at N,INJURY,RIGHT ANGLE,2,1,NO,NO,NO,NO,NO,NO,NO,,4715
B8-063259,2018/07/12 05:00:00+00,1352,01:52:00,"S COTNER,L to LENOX",INJURY,OTHER,1,1,YES,NO,NO,NO,NO,NO,NO,,4716
B8-059348,2018/07/02 05:00:00+00,1245,12:45:00,S 40 at SWEETBRIAR,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,,4717
B8-059864,2018/07/03 05:00:00+00,1700,05:00:00,"N,S 23 to S 25",INJURY,DRIVEWAY,2,1,NO,NO,YES,NO,NO,NO,NO,,4718
B8-063907,2018/07/14 05:00:00+00,1130,11:30:00,"FAIR,GRIFFITH to N 32",NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,,4719
B8-059374,2018/07/02 05:00:00+00,1403,02:03:00,"KNOX,N 48 to N 49",INJURY,RIGHT ANGLE,1,1,NO,YES,NO,NO,NO,YES,NO,,4720
B8-057912,2018/06/28 05:00:00+00,1840,06:40:00,TOUZALIN at KNOX,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,YES,NO,,4721
B8-058764,2018/06/30 05:00:00+00,2202,10:02:00,"O,14 to CENTENNIAL MALL",INJURY,REAR END,4,1,NO,NO,NO,NO,NO,NO,NO,,4722
B8-059378,2018/07/02 05:00:00+00,1414,02:14:00,"O,44 to 45",NON-INJ,REAR END,3,0,NO,NO,NO,NO,NO,NO,NO,,4723
B8-058917,2018/07/01 05:00:00+00,932,09:32:00,N 71 at MORRILL,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,,4724
B8-062499,2018/07/10 05:00:00+00,1445,02:45:00,URBANA at STARR,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,,4725
B8-059386,2018/07/02 05:00:00+00,1443,02:43:00,S 13 at ARAPAHOE,INJURY,TURNING,2,3,NO,NO,NO,NO,NO,NO,NO,,4726
B8-062619,2018/07/10 05:00:00+00,2115,09:15:00,"KNOX,N 65 to N 65",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,,4727
B8-063260,2018/07/12 05:00:00+00,1554,03:54:00,"M,CENTENNIAL MALL to S 14",NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,NO,NO,,4728
B8-059865,2018/07/03 05:00:00+00,,12:00:00,3512 N 66 at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,YES,NO,,4729
B8-057919,2018/06/28 05:00:00+00,1853,06:53:00,"N COTNER,N 62 to VINE",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,,4730
B8-058955,2018/07/01 05:00:00+00,1215,12:15:00,333 N 48 at TARGET,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,,4731
B8-062638,2018/07/10 05:00:00+00,2214,10:14:00,"N 10,CHARLESTON to BRIDGE END",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,,4732
B8-063268,2018/07/10 05:00:00+00,,12:00:00,"B,S 10 to S 9",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,,4733
B8-059876,2018/07/03 05:00:00+00,,12:00:00,"CORNHUSKER,N 27 to STATE FAIR PARK",INJURY,RIGHT ANGLE,5,1,NO,NO,NO,NO,NO,YES,NO,,4734
B8-057923,2018/06/28 05:00:00+00,,12:00:00,"N 85,MARKET DR to EXPRESS DR",INJURY,OTHER,1,1,NO,NO,YES,NO,NO,NO,NO,,4735
B8-058957,2018/07/01 05:00:00+00,,12:00:00,"S 52,LOWELL to PRESCOTT",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,,4736
B8-062734,2018/07/11 05:00:00+00,,12:00:00,"S 38,EVERETT to GARFIELD",NON-INJ H&R,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,,4737
B8-063290,2018/07/12 05:00:00+00,1705,05:05:00,"N 70,DUDLEY to STARR",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,,4738
B8-059888,2018/07/03 05:00:00+00,1726,05:26:00,"W,N 26 to N 27",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,,4739
B8-057979,2018/06/28 05:00:00+00,2210,10:10:00,"OLD CHENEY,WARLICK to S 14",NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,YES,NO,,4740
B8-059021,2018/07/01 05:00:00+00,1638,04:38:00,"N 27,KENSINGTON to TICONDEROGA",NON-INJ H&R,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,,4741
B8-062752,2018/07/11 05:00:00+00,900,09:00:00,"PEREGRINE CT,DEAD END to TALON RD",NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,,4742
B8-063300,2018/07/12 05:00:00+00,1728,05:28:00,"O,SYCAMORE to RUSSWOOD PKWY",NON-INJ,REAR END,3,0,NO,NO,NO,NO,NO,YES,NO,,4743
B8-063301,2018/07/12 05:00:00+00,1725,05:25:00,S 70 at NEBR HWY,INJURY,TURNING,2,2,NO,NO,NO,NO,NO,NO,NO,,4744
B8-063312,2018/07/13 05:00:00+00,1800,06:00:00,N 42 at Y,INJURY,RIGHT ANGLE,2,1,NO,NO,NO,NO,NO,NO,NO,,4745
B8-063324,2018/07/12 05:00:00+00,1830,06:30:00,"N 56,T to VINE",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,,4746
B8-063351,2018/07/12 05:00:00+00,,12:00:00,"CANOPY ST,R to Q",NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,,4747
B8-063352,2018/07/12 05:00:00+00,,12:00:00,2412 N at SUN GROCERY,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,,4748
B8-063354,2018/07/12 05:00:00+00,2022,08:22:00,"HOLDREGE,N 65 to N COTNER",INJURY,RAN OFF ROAD,1,1,NO,NO,NO,NO,NO,NO,NO,,4749
B8-063365,2018/07/13 05:00:00+00,,12:00:00,4700 N 27 at WALMART,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,,4750
B8-063473,2018/07/12 05:00:00+00,2113,09:13:00,"S 78,KARL to FRAMTON RD",NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,,4751
B8-063475,2018/07/13 05:00:00+00,659,06:59:00,"FAIRFAX,N 65 to N COTNER",NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,,4752
B8-063488,2018/07/13 05:00:00+00,1815,06:15:00,S 46 at RANDOLPH,NON-INJ H&R,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,,4753
B8-059427,2018/07/02 05:00:00+00,1601,04:01:00,"N 49,LEIGHTON to WALKER",NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,,4754
B8-059432,2018/07/02 05:00:00+00,1630,04:30:00,N 59 at ADAMS,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,,4755
B8-059444,2018/07/02 05:00:00+00,1658,04:58:00,"O,48 to 50",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,,4756
B8-059454,2018/07/02 05:00:00+00,1720,05:20:00,RENTWORTH DR at BRIARPARK,NON-INJ H&R,DRIVEWAY,2,0,NO,NO,NO,NO,NO,NO,NO,,4757
B8-059483,2018/07/02 05:00:00+00,,12:00:00,1507 SUPERIOR at PRIVATE LOT,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,YES,NO,,4758
B8-059499,2018/07/01 05:00:00+00,,12:00:00,338 S 26 at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,,4759
B8-059522,2018/07/02 05:00:00+00,2030,08:30:00,N 14 at FLETCHER,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,NO,NO,,4760
B8-059529,2018/07/02 05:00:00+00,345,03:45:00,2928 N COTNER at PRIVATE PARKING,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,,4761
B8-059652,2018/07/03 05:00:00+00,523,05:23:00,"OLD CHENEY,S 25 to S 27",NON-INJ H&R,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,YES,NO,,4762
B8-059677,2018/07/03 05:00:00+00,815,08:15:00,5530 O at -,INJURY,,1,1,YES,NO,NO,NO,NO,YES,NO,,4763
B8-059681,2018/07/02 05:00:00+00,,12:00:00,"C,S 35 to S 37",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,,4764
B8-059715,2018/08/03 05:00:00+00,1025,10:25:00,"ADAMS,N 65 to N COTNER",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,,4765
B8-059749,2018/07/03 05:00:00+00,1215,12:15:00,"S 56,LONDON to OLD CHENEY",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,,4766
B8-059776,2018/07/03 05:00:00+00,1343,01:43:00,"O,68 to 70",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,YES,NO,,4767
B8-059777,2018/07/03 05:00:00+00,1403,02:03:00,STATE FAIR PARK at CORNHUSKER,INJURY,TURNING,2,1,NO,NO,NO,NO,NO,YES,NO,,4768
B8-059785,2018/07/03 05:00:00+00,,12:00:00,"N 27,O to P",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,,4769
B8-059787,2018/07/03 05:00:00+00,1430,02:30:00,"N 70,KNOX to ADAMS",INJURY,REAR END,2,1,NO,NO,NO,NO,NO,YES,NO,,4770
B8-059802,2018/07/03 05:00:00+00,1515,03:15:00,2120 S 56 at PARKING LOT,NON-INJ,,2,0,NO,NO,NO,NO,NO,NO,NO,,4771
B8-060199,2018/07/04 05:00:00+00,1315,01:15:00,"BRIAR ROSA,JANE to S 28",NON-INJ,DRIVEWAY,2,0,NO,NO,NO,NO,NO,NO,NO,,4772
B8-060201,2018/07/04 05:00:00+00,1322,01:22:00,"S 34,ORWELL to BROWNING",NON-INJ,DRIVEWAY,2,0,NO,NO,NO,NO,NO,YES,NO,,4773
B8-060220,2018/07/04 05:00:00+00,1406,02:06:00,"WASHINGTON,S 21 to S 22",NON-INJ H&R,PARKED,3,0,NO,NO,NO,NO,NO,NO,NO,,4774
B8-060255,2018/07/04 05:00:00+00,1652,04:52:00,N 68 at HOLDREGE,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,,4775
B8-057859,2018/06/28 05:00:00+00,1558,03:58:00,501 N 46 at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,,4776
B8-063197,2018/07/12 05:00:00+00,1322,01:22:00,"S 46,COOPER to STOCKWELL",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,,4777
B8-059830,2018/07/03 05:00:00+00,1557,03:57:00,S 70 at NEBR HWY,INJURY,REAR END,2,1,NO,NO,NO,NO,NO,NO,NO,,4778
B8-063908,2018/07/14 05:00:00+00,1136,11:36:00,"S 27,A to WASHINGTON",INJURY,REAR END,2,1,NO,NO,YES,NO,NO,NO,NO,,4779
B8-061837,2018/07/08 05:00:00+00,1704,05:04:00,9 at O,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,YES,NO,,4780
B8-058767,2018/06/30 05:00:00+00,2146,09:46:00,S 33 at VAN DORN,NON-INJ H&R,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,,4781
B8-062507,2018/07/11 05:00:00+00,1445,02:45:00,SUPERIOR at BEL RIDGE,INJURY,OTHER,1,1,NO,NO,NO,NO,NO,NO,NO,,4782
B8-057860,2018/06/28 05:00:00+00,1553,03:53:00,S 17 at K,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,YES,NO,,4783
B8-063206,2018/07/12 05:00:00+00,1341,01:41:00,RIDGE RD at SWITCHBACK,NON-INJ,OVERHEAD,1,0,NO,NO,NO,NO,NO,YES,NO,,4784
B8-059831,2018/07/03 05:00:00+00,1606,04:06:00,NW 2 at W FLETCHER,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,,4785
B8-063912,2018/07/14 05:00:00+00,1150,11:50:00,"PIONEERS,S 32 to S 33",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,,4786
B8-061881,2018/07/02 05:00:00+00,,12:00:00,UNKNOWN at -,NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,,4787
B8-058822,2018/07/01 05:00:00+00,54,12:54:00,I 80 at HWY 77,INJURY,RAN OFF ROAD,1,2,NO,NO,NO,NO,NO,NO,NO,,4788
B8-062508,2018/07/10 05:00:00+00,1510,03:10:00,"MADISON,N 33 to N 35",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,,4789
B8-057865,2018/06/28 05:00:00+00,,12:00:00,N 22 at JUDSON,NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,,4790
B8-063213,2018/07/12 05:00:00+00,1403,02:03:00,"S 56,A to SUMNER",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,,4791
B8-059840,2018/07/03 05:00:00+00,1620,04:20:00,"LEIGHTON,N 48 to N 49",NON-INJ,REAR END,3,0,NO,NO,NO,NO,NO,YES,NO,,4792
B8-063926,2018/07/14 05:00:00+00,1243,12:43:00,N COTNER at AYLESWORTH,INJURY,RIGHT ANGLE,2,1,NO,NO,NO,NO,NO,NO,NO,,4793
B8-061916,2018/07/08 05:00:00+00,,12:00:00,5720 ABBEY at PARKING LOT,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,,4794
B8-058841,2018/07/01 05:00:00+00,133,01:33:00,"N 10,P to Q",NON-INJ H&R,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,,4795
B8-062513,2018/07/10 05:00:00+00,1530,03:30:00,"VAN DORN,FOX HOLLOW RD to S 75",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,,4796
B8-057871,2018/06/28 05:00:00+00,,12:00:00,"S 16,J to K",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,,4797
B8-063214,2018/07/12 05:00:00+00,1353,01:53:00,"N 48,BALDWIN to ST PAUL",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,YES,NO,,4798
B8-059848,2018/07/03 05:00:00+00,1635,04:35:00,"S 84,A to JANSSEN",INJURY,REAR END,3,1,NO,NO,NO,NO,NO,YES,NO,,4799
B8-063946,2018/07/14 05:00:00+00,1400,02:00:00,"S 84,WENDELL WAY to OLD CHENEY",NON-INJ H&R,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,YES,NO,,4800
B8-065681,2018/07/19 05:00:00+00,1115,11:15:00,"STATE FAIR PARK,CORNHUSKER to THERESA",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,,4801
B8-065694,2018/07/19 05:00:00+00,1130,11:30:00,514 S 27 at PARKING LOT,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,YES,NO,,4802
B8-065701,2018/07/18 05:00:00+00,,12:00:00,UNKNOWN at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,,4803
B8-067494,2018/07/24 05:00:00+00,1215,12:15:00,1145 S 11 at -,NON-INJ,,1,0,NO,NO,NO,NO,NO,NO,NO,,4804
B8-068175,2018/07/26 05:00:00+00,1307,01:07:00,HAVELOCK at CORNHUSKER,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,,4805
B8-069964,2018/07/31 05:00:00+00,1750,05:50:00,"S 56,LONDON to OLD CHENEY",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,,4806
B8-065709,2018/07/12 05:00:00+00,,12:00:00,"L,S 42 to S 43",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,,4807
B8-068182,2018/07/26 05:00:00+00,1310,01:10:00,"N 81,YELLOW KNIFE DR to DAWSON CREEK DR",NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,,4808
B8-068191,2018/07/26 05:00:00+00,1400,02:00:00,4440 N 27 at -,INJURY,,1,1,NO,NO,NO,NO,NO,NO,NO,,4809
B8-068211,2018/07/26 05:00:00+00,1534,03:34:00,"N 1,ADAMS to W BELMONT",NON-INJ,REAR END,3,0,NO,NO,NO,NO,NO,YES,NO,,4810
B8-068221,2018/07/26 05:00:00+00,,12:00:00,"S 35,SMITH to VAN DORN",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,,4811
B8-069251,2018/07/28 05:00:00+00,,12:00:00,", to",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,,4812
B8-069274,2018/07/29 05:00:00+00,,12:00:00,4700 N 27TH at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,YES,NO,,4813
B8-066466,2018/07/21 05:00:00+00,1417,02:17:00,6100 O at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,,4814
B8-069285,2018/07/29 05:00:00+00,1815,06:15:00,"EIGER DR,NEBR HWY to WESTSHORE",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,,4815
B8-066479,2018/07/21 05:00:00+00,1530,03:30:00,N 30 at S,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,,4816
B8-069299,2018/07/29 05:00:00+00,1855,06:55:00,"S 10,PEACH to PLUM",NON-INJ H&R,TURNING,2,0,NO,NO,NO,NO,NO,NO,NO,,4817
B8-070895,2018/08/03 05:00:00+00,1105,11:05:00,S 10 at L,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,,4818
B8-066492,2018/07/21 05:00:00+00,1610,04:10:00,"A,REGENCY to S 77",INJURY,DRIVEWAY,2,2,NO,NO,NO,NO,NO,NO,NO,,4819
B8-068222,2018/07/26 05:00:00+00,1610,04:10:00,"A,S 12 to S 13",INJURY H&R,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,,4820
B8-069989,2018/07/31 05:00:00+00,1915,07:15:00,"S 70,HOLMES PARK RD to PIONEER WOODS DR",INJURY,REAR END,3,1,NO,NO,NO,NO,NO,NO,NO,,4821
B8-065721,2018/07/19 05:00:00+00,1355,01:55:00,"N 29,CORNHUSKER to N DEAD END",NON-INJ,REAR END,3,0,NO,NO,NO,NO,NO,NO,NO,,4822
B8-069300,2018/07/29 05:00:00+00,1810,06:10:00,6125 APPLES WAY at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,,4823
B8-070904,2018/08/03 05:00:00+00,1115,11:15:00,"N 52,O to R",NON-INJ,DRIVEWAY,2,0,NO,NO,NO,NO,NO,YES,NO,,4824
B8-067495,2018/07/24 05:00:00+00,1300,01:00:00,S 17 at WASHINGTON,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,,4825
B8-066513,2018/07/21 05:00:00+00,1740,05:40:00,7045 O at WALGREENS,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,,4826
B8-068227,2018/07/26 05:00:00+00,1636,04:36:00,"SUPERIOR,N 56 to CORNHUSKER",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,,4827
B8-069991,2018/07/31 05:00:00+00,1920,07:20:00,N 26 at ORCHARD,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,,4828
B8-065723,2018/07/13 05:00:00+00,,12:00:00,371 W CHARLESTON at PARKING LOT,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,YES,NO,,4829
B8-067740,2018/07/25 05:00:00+00,,12:00:00,"N PARK RD,W LUKE to W KEARNEY",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,YES,NO,,4830
B8-069340,2018/07/29 05:00:00+00,2120,09:20:00,"N 14,ADAMS to BUTLER",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,,4831
B8-070917,2018/08/03 05:00:00+00,1151,11:51:00,"S 27,NEBR HWY to WOODS BLVD",NON-INJ H&R,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,,4832
B8-067496,2018/07/24 05:00:00+00,1330,01:30:00,"CHANNEL,BRIAR ROSA to SEQUOIA",INJURY,RAN OFF ROAD,1,1,NO,NO,NO,NO,NO,NO,NO,,4833
B8-066813,2018/07/22 05:00:00+00,,12:00:00,"K,S 14 to S 16",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,,4834
B8-069432,2018/07/30 05:00:00+00,743,07:43:00,"S 40,LAKE to NORMAL",INJURY,REAR END,2,1,NO,NO,NO,NO,NO,YES,NO,,4835
B8-066524,2018/07/21 05:00:00+00,,12:00:00,N 22 & N 23 at DUDLEY & STARR,NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,,4836
