RKY,DOA,TOA,FIXTIME,LOCAT,TYPE,ACTION,NUV,NOI,PED,BIKE,MC,MOPED,TRAIN,TRUCK,BUS,ObjectId,ObjectId2
B8-000450,2018/01/02 06:00:00+00,1509,03:09:00,"ADAMS,N 13 to N 14",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,,35
B8-000462,2018/01/02 06:00:00+00,1552,03:52:00,"CAPITOL PKWY W,S 9 to S FOLSOM",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,,36
B8-000471,1970/01/01 06:00:00+00,,12:00:00,"HARWOOD,S 18 to S 19",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,,37
B8-000478,2018/01/02 06:00:00+00,1645,04:45:00,HOMESTEAD at W O,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,YES,NO,,38
B8-000487,2018/01/02 06:00:00+00,1728,05:28:00,"S 48,HILLSIDE to SHERMAN",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,,39
B8-000490,2018/01/02 06:00:00+00,,12:00:00,"S 18,G to H",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,,40
B8-000510,2018/01/02 06:00:00+00,1830,06:30:00,300 SPEEDWAY CIR at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,YES,NO,,41
B8-000511,2018/01/02 06:00:00+00,1842,06:42:00,"N 52,O to R",INJURY,DRIVEWAY,2,2,NO,NO,NO,NO,NO,NO,NO,,42
B8-000537,2018/01/02 06:00:00+00,2014,08:14:00,N 14 at SUPERIOR,NON-INJ H&R,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,,43
B8-000574,2018/01/03 06:00:00+00,1,12:01:00,", to",NON-INJ H&R,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,,44
B8-000582,2018/01/03 06:00:00+00,115,01:15:00,"N 23,W to Y",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,,45
B8-000619,2018/01/03 06:00:00+00,650,06:50:00,"NW 12,W ADAMS to W CORNHUSKER",NON-INJ,REAR END,4,0,NO,NO,NO,NO,NO,YES,NO,,46
B8-000628,2018/01/03 06:00:00+00,800,08:00:00,"S 9,N to O",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,,47
B8-000630,2018/01/03 06:00:00+00,800,08:00:00,"S 80,SOUTH to TRENDWOOD",NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,YES,NO,,48
B8-000642,2017/12/28 06:00:00+00,2130,09:30:00,"P,N 11 to N 12",INJURY,SIDE SWIPE,2,1,NO,NO,NO,NO,NO,NO,NO,,49
B8-000655,2018/01/03 06:00:00+00,952,09:52:00,S 52 at FRANKLIN,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,,50
B8-001008,2018/01/04 06:00:00+00,1557,03:57:00,NW 14 at W Q,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,,51
B8-001009,2018/01/04 06:00:00+00,1530,03:30:00,"ROCKHURST,AMHURST to HAVERFORD",INJURY,RAN OFF ROAD,1,1,NO,NO,NO,NO,NO,NO,NO,,52
B8-001027,2018/01/03 06:00:00+00,,12:00:00,"D,S 23 to S 24",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,,53
B8-001035,2018/01/04 06:00:00+00,1718,05:18:00,HOMESTEAD at W O,NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,,54
B8-001037,2018/01/04 06:00:00+00,1721,05:21:00,"VINE,N 59 to N 60",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,,55
B8-001043,2018/01/04 06:00:00+00,1735,05:35:00,"HAVELOCK,N 69 to N 70",NON-INJ,REAR END,3,0,NO,NO,NO,NO,NO,YES,NO,,56
B8-001057,2018/01/04 06:00:00+00,,12:00:00,"FAWN,DEAD END to ELKCREST",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,,57
B8-001062,2018/01/04 06:00:00+00,1927,07:27:00,"O,23 to 24",NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,,58
B8-001107,2018/01/04 06:00:00+00,2330,11:30:00,WARLICK at HOMESTEAD EXP,NON-INJ,OTHER,1,0,NO,NO,NO,NO,NO,NO,NO,,59
B8-001108,2018/01/04 06:00:00+00,2100,09:00:00,"NW 55,W REDBERRY LN to W PARTRIDGE",NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,,60
B8-001161,2018/01/05 06:00:00+00,918,09:18:00,"HOMESTEAD EXP,ROSA PARKS WAY to W O",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,,61
B8-001180,2018/01/05 06:00:00+00,1025,10:25:00,2 at O,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,YES,NO,,62
B8-001188,2018/01/04 06:00:00+00,1520,03:20:00,S 25 at N,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,,63
B8-001190,2018/01/05 06:00:00+00,1040,10:40:00,"O,50 to 52",NON-INJ,DRIVEWAY,2,0,NO,NO,NO,NO,NO,YES,NO,,64
B8-001201,2018/01/05 06:00:00+00,1120,11:20:00,"GARFIELD,S 16 to S 17",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,,65
B8-001225,2018/01/05 06:00:00+00,1300,01:00:00,"O,14 to CENTENNIAL MALL",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,,66
B8-001226,2018/01/05 06:00:00+00,1300,01:00:00,O at RUSSWOOD PKWY,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,,67
B8-001235,2018/01/05 06:00:00+00,1354,01:54:00,N 27 at P,NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,,68
B8-001236,2018/01/05 06:00:00+00,1350,01:50:00,N 27 at P,INJURY,REAR END,2,1,NO,NO,NO,NO,NO,YES,NO,,69
B8-001237,2018/01/05 06:00:00+00,1329,01:29:00,"S 56,LOWELL to PIONEERS",INJURY,REAR END,2,1,NO,NO,NO,NO,NO,YES,NO,,70
B8-001242,2018/01/05 06:00:00+00,1422,02:22:00,"SOUTH,S 13 to S 14",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,,71
B8-001920,2018/01/07 06:00:00+00,2135,09:35:00,NORMAL at HOLMES NORTH SHR,NON-INJ H&R,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,,72
B8-003309,2018/01/12 06:00:00+00,1444,02:44:00,N 64 at LOGAN,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,,73
B8-003316,2018/01/12 06:00:00+00,1423,02:23:00,"S 20,HEATHER to KING ARTHUR",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,,74
B8-003322,2018/01/12 06:00:00+00,1516,03:16:00,"CAMPBELL,EVERGREEN to TETON",NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,,75
B8-003336,2018/01/12 06:00:00+00,1556,03:56:00,"O,COTNER to LYNCREST",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,,76
B8-003362,2018/01/12 06:00:00+00,1734,05:34:00,"S 27,E to F",INJURY,REAR END,2,3,NO,NO,NO,NO,NO,NO,NO,,77
B8-003366,2018/01/12 06:00:00+00,1735,05:35:00,"S 40,LAKE to NORMAL",INJURY,DRIVEWAY,2,2,NO,NO,NO,NO,NO,NO,NO,,78
B8-003368,2018/01/12 06:00:00+00,1740,05:40:00,N 70 at P,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,,79
B8-003383,2018/01/12 06:00:00+00,1837,06:37:00,"N 43,ADAMS to GREENWOOD",NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,,80
B8-003391,2018/01/12 06:00:00+00,1851,06:51:00,"S 27,NOTTINGHAM to PICCADILLY",INJURY,REAR END,2,2,NO,NO,NO,NO,NO,NO,NO,,81
B8-003393,2018/01/12 06:00:00+00,630,06:30:00,"N 30,R to S",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,,82
B8-003401,2018/01/12 06:00:00+00,1935,07:35:00,"NORMAL,S 70 to VAN DORN",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,,83
B8-003407,2018/01/12 06:00:00+00,2005,08:05:00,"S 48,A to S COTNER",INJURY,REAR END,3,1,NO,NO,NO,NO,NO,NO,NO,,84
B8-003409,2018/01/13 06:00:00+00,,12:00:00,UNKNOWN at -,NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,,85
B8-003412,2018/01/12 06:00:00+00,,12:00:00,1600 S 48 at PARKING LOT,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,,86
