G,Date,Time,Day,School,,Opponent,Conf,,Pts,Opp,W,L,Streak,Notes
1,Sep 3 2016,8:00 PM,Sat,Nebraska,,Fresno State,MWC,W,43,10,1,0,W 1,
2,Sep 10 2016,12:00 PM,Sat,Nebraska,,Wyoming,MWC,W,52,17,2,0,W 2,
3,Sep 17 2016,3:30 PM,Sat,Nebraska,,(22) Oregon,Pac-12,W,35,32,3,0,W 3,
4,Sep 24 2016,7:30 PM,Sat,(20) Nebraska,@,Northwestern,Big Ten,W,24,13,4,0,W 4,
5,Oct 1 2016,3:30 PM,Sat,(15) Nebraska,,Illinois,Big Ten,W,31,16,5,0,W 5,
6,Oct 15 2016,3:30 PM,Sat,(10) Nebraska,@,Indiana,Big Ten,W,27,22,6,0,W 6,
7,Oct 22 2016,3:30 PM,Sat,(8) Nebraska,,Purdue,Big Ten,W,27,14,7,0,W 7,
8,Oct 29 2016,7:00 PM,Sat,(7) Nebraska,@,(11) Wisconsin,Big Ten,L,17,23,7,1,L 1,
9,Nov 5 2016,8:00 PM,Sat,(9) Nebraska,@,(6) Ohio State,Big Ten,L,3,62,7,2,L 2,
10,Nov 12 2016,7:30 PM,Sat,(21) Nebraska,,Minnesota,Big Ten,W,24,17,8,2,W 1,
11,Nov 19 2016,12:00 PM,Sat,(19) Nebraska,,Maryland,Big Ten,W,28,7,9,2,W 2,
12,Nov 25 2016,3:30 PM,Fri,(17) Nebraska,@,Iowa,Big Ten,L,10,40,9,3,L 1,
13,Dec 30 2016,3:30 PM,Fri,(24) Nebraska,N,Tennessee,SEC,L,24,38,9,4,L 2,Music City Bowl
