G,Date,Time,Day,School,,Opponent,Conf,,Pts,Opp,W,L,Streak,Notes
1,Aug 31 2019,12:00 PM,Sat,(24) Nebraska,,South Alabama,Sun Belt,W,35,21,1,0,W 1,
2,Sep 7 2019,3:30 PM,Sat,(25) Nebraska,@,Colorado,Pac-12,L,31,34,1,1,L 1,
3,Sep 14 2019,8:00 PM,Sat,Nebraska,,Northern Illinois,MAC,W,44,8,2,1,W 1,
4,Sep 21 2019,8:00 PM,Sat,Nebraska,@,Illinois,Big Ten,W,42,38,3,1,W 2,
5,Sep 28 2019,7:30 PM,Sat,Nebraska,,(5) Ohio State,Big Ten,L,7,48,3,2,L 1,
6,Oct 5 2019,4:00 PM,Sat,Nebraska,,Northwestern,Big Ten,W,13,10,4,2,W 1,
7,Oct 12 2019,7:30 PM,Sat,Nebraska,@,Minnesota,Big Ten,L,7,34,4,3,L 1,
8,Oct 26 2019,3:30 PM,Sat,Nebraska,,Indiana,Big Ten,L,31,38,4,4,L 2,
9,Nov 2 2019,12:00 PM,Sat,Nebraska,@,Purdue,Big Ten,L,27,31,4,5,L 3,
10,Nov 16 2019,12:00 PM,Sat,Nebraska,,(15) Wisconsin,Big Ten,L,21,37,4,6,L 4,
11,Nov 23 2019,3:30 PM,Sat,Nebraska,@,Maryland,Big Ten,W,54,7,5,6,W 1,
12,Nov 29 2019,2:30 PM,Fri,Nebraska,,(19) Iowa,Big Ten,L,24,27,5,7,L 1,
