G,Date,Time,Day,School,,Opponent,Conf,,Pts,Opp,W,L,Streak,Notes
1,Aug 30 2014,3:30 PM,Sat,(22) Nebraska,,Florida Atlantic,CUSA,W,55,7,1,0,W 1,
2,Sep 6 2014,12:00 PM,Sat,(19) Nebraska,,McNeese State,Non-Major,W,31,24,2,0,W 2,
3,Sep 13 2014,10:30 PM,Sat,Nebraska,@,Fresno State,MWC,W,55,19,3,0,W 3,
4,Sep 20 2014,8:00 PM,Sat,(24) Nebraska,,Miami (FL),ACC,W,41,31,4,0,W 4,
5,Sep 27 2014,9:00 PM,Sat,(21) Nebraska,,Illinois,Big Ten,W,45,14,5,0,W 5,
6,Oct 4 2014,8:00 PM,Sat,(19) Nebraska,@,(10) Michigan State,Big Ten,L,22,27,5,1,L 1,
7,Oct 18 2014,7:30 PM,Sat,(19) Nebraska,@,Northwestern,Big Ten,W,38,17,6,1,W 1,
8,Oct 25 2014,12:00 PM,Sat,(16) Nebraska,,Rutgers,Big Ten,W,42,24,7,1,W 2,
9,Nov 1 2014,3:30 PM,Sat,(17) Nebraska,,Purdue,Big Ten,W,35,14,8,1,W 3,
10,Nov 15 2014,3:30 PM,Sat,(11) Nebraska,@,(22) Wisconsin,Big Ten,L,24,59,8,2,L 1,
11,Nov 22 2014,12:00 PM,Sat,(21) Nebraska,,Minnesota,Big Ten,L,24,28,8,3,L 2,
12,Nov 28 2014,12:00 PM,Fri,Nebraska,@,Iowa,Big Ten,W,37,34,9,3,W 1,
13,Dec 27 2014,8:00 PM,Sat,(25) Nebraska,N,(24) USC,Pac-12,L,42,45,9,4,L 1,Holiday Bowl (San Diego CA)
