G,Date,Time,Day,School,,Opponent,Conf,,Pts,Opp,W,L,Streak,Notes
1,Sep 2 2017,8:00 PM,Sat,Nebraska,,Arkansas State,Sun Belt,W,43,36,1,0,W 1,Memorial Stadium - Lincoln Nebraska
2,Sep 9 2017,4:30 PM,Sat,Nebraska,@,Oregon,Pac-12,L,35,42,1,1,L 1,Autzen Stadium - Eugene Oregon
3,Sep 16 2017,12:00 PM,Sat,Nebraska,,Northern Illinois,MAC,L,17,21,1,2,L 2,Memorial Stadium - Lincoln Nebraska
4,Sep 23 2017,3:30 PM,Sat,Nebraska,,Rutgers,Big Ten,W,27,17,2,2,W 1,Memorial Stadium - Lincoln Nebraska
5,Sep 29 2017,8:00 PM,Fri,Nebraska,@,Illinois,Big Ten,W,28,6,3,2,W 2,Memorial Stadium - Champaign Illinois
6,Oct 7 2017,8:00 PM,Sat,Nebraska,,(9) Wisconsin,Big Ten,L,17,38,3,3,L 1,Memorial Stadium - Lincoln Nebraska
7,Oct 14 2017,7:30 PM,Sat,Nebraska,,(9) Ohio State,Big Ten,L,14,56,3,4,L 2,Memorial Stadium - Lincoln Nebraska
8,Oct 28 2017,7:30 PM,Sat,Nebraska,@,Purdue,Big Ten,W,25,24,4,4,W 1,Ross-Ade Stadium - West Lafayette Indiana
9,Nov 4 2017,3:30 PM,Sat,Nebraska,,Northwestern,Big Ten,L,24,31,4,5,L 1,Memorial Stadium - Lincoln Nebraska
10,Nov 11 2017,12:00 PM,Sat,Nebraska,@,Minnesota,Big Ten,L,21,54,4,6,L 2,TCF Bank Stadium - Minneapolis Minnesota
11,Nov 18 2017,4:00 PM,Sat,Nebraska,@,(13) Penn State,Big Ten,L,44,56,4,7,L 3,Beaver Stadium - University Park Pennsylvania
12,Nov 24 2017,4:00 PM,Fri,Nebraska,,Iowa,Big Ten,L,14,56,4,8,L 4,Memorial Stadium - Lincoln Nebraska
