feat,f,mi,logreg,lightgbm
HouseStyle_1Story,114.0,205.0,32.0,110.0
HouseStyle_2.5Fin,53.0,35.0,171.0,186.0
HouseStyle_2.5Unf,132.0,25.0,166.0,186.0
HouseStyle_2Story,82.0,191.0,31.0,122.0
HouseStyle_SFoyer,179.0,15.0,128.0,60.0
HouseStyle_SLvl,189.0,124.0,95.0,68.0
RoofStyle_Flat,187.0,95.0,169.0,186.0
RoofStyle_Gable,92.0,175.0,22.0,127.0
RoofStyle_Gambrel,91.0,108.0,159.0,186.0
RoofStyle_Hip,88.0,171.0,20.0,83.0
RoofStyle_Mansard,199.0,4.0,180.0,186.0
RoofStyle_Shed,216.0,137.0,213.0,186.0
RoofMatl_ClyTile,223.0,123.0,211.0,186.0
RoofMatl_CompShg,185.0,48.0,170.0,186.0
RoofMatl_Membran,229.0,226.0,229.0,186.0
RoofMatl_Metal,220.0,71.0,217.0,186.0
RoofMatl_Roll,213.0,49.0,216.0,186.0
RoofMatl_Tar&Grv,157.0,10.0,175.0,186.0
RoofMatl_WdShake,206.0,57.0,195.0,186.0
RoofMatl_WdShngl,77.0,11.0,184.0,186.0
Exterior1st_AsbShng,193.0,29.0,165.0,186.0
Exterior1st_AsphShn,221.0,104.0,212.0,186.0
Exterior1st_BrkComm,182.0,69.0,205.0,186.0
Exterior1st_BrkFace,125.0,59.0,118.0,76.0
Exterior1st_CBlock,211.0,116.0,225.5,186.0
Exterior1st_CemntBd,21.0,83.0,109.0,102.0
Exterior1st_HdBoard,161.0,173.0,54.0,124.0
Exterior1st_ImStucc,229.0,229.0,229.0,186.0
Exterior1st_MetalSd,142.0,168.0,62.0,120.0
Exterior1st_Plywood,166.0,158.0,91.0,67.0
Exterior1st_Stone,218.0,56.0,215.0,186.0
Exterior1st_Stucco,79.0,7.0,146.0,186.0
Exterior1st_VinylSd,49.0,189.0,42.0,135.0
Exterior1st_Wd Sdng,117.0,162.0,70.0,115.0
Exterior1st_WdShing,197.0,114.0,143.0,186.0
Exterior2nd_AsbShng,183.0,40.0,158.0,186.0
Exterior2nd_AsphShn,222.0,67.0,204.0,186.0
Exterior2nd_Brk Cmn,115.0,30.0,182.0,186.0
Exterior2nd_BrkFace,74.0,102.0,148.0,186.0
Exterior2nd_CBlock,211.0,44.0,225.5,186.0
Exterior2nd_CmentBd,16.0,84.0,111.0,92.0
Exterior2nd_HdBoard,170.0,174.0,58.0,75.0
Exterior2nd_ImStucc,184.0,38.0,172.0,186.0
Exterior2nd_MetalSd,135.0,161.0,60.0,85.0
Exterior2nd_Other,2.5,100.0,206.0,186.0
Exterior2nd_Plywood,164.0,157.0,71.0,119.0
Exterior2nd_Stone,214.0,3.0,197.0,186.0
Exterior2nd_Stucco,81.0,72.0,149.0,34.0
Exterior2nd_VinylSd,47.0,183.0,39.0,134.0
Exterior2nd_Wd Sdng,112.0,154.0,68.0,101.0
Exterior2nd_Wd Shng,156.0,28.0,117.0,56.0
MasVnrType_BrkCmn,155.0,19.0,147.0,186.0
MasVnrType_BrkFace,98.0,187.0,12.0,104.0
MasVnrType_None,78.0,190.0,19.0,132.0
MasVnrType_Stone,32.0,143.0,36.0,125.0
Foundation_BrkTil,133.0,159.0,96.0,109.0
Foundation_CBlock,80.0,196.0,46.0,97.0
Foundation_PConc,43.0,188.0,50.0,100.0
Foundation_Slab,33.0,70.0,152.0,186.0
Foundation_Stone,24.0,2.0,177.0,186.0
Foundation_Wood,215.0,79.0,183.0,186.0
