iter	MultiClass
0	1.526778726
1	1.274374705
2	1.109236066
3	0.9729710857
4	0.8691318142
5	0.7892696925
6	0.7198116736
7	0.6625088532
8	0.6139880623
9	0.5710101067
10	0.5344358176
11	0.5034648755
12	0.4751759845
13	0.4494490307
14	0.4260276879
15	0.4060616345
16	0.3882956703
17	0.3731227323
18	0.3596200989
19	0.3470640223
20	0.3349298528
21	0.3253149021
22	0.315868012
23	0.3073153925
24	0.2988002541
25	0.292531174
26	0.2857842838
27	0.2794615972
28	0.2742702918
29	0.2698433969
30	0.2645136676
31	0.2598168762
32	0.2555008266
33	0.251762378
34	0.2478069527
35	0.244727958
36	0.2419226617
37	0.2393961208
38	0.2368989015
39	0.2343698496
40	0.2320156002
41	0.2297206614
42	0.2275630042
43	0.2259203134
44	0.2239627921
45	0.2221101493
46	0.2204818777
47	0.2187341317
48	0.2162406743
49	0.2149941801
50	0.2133514948
51	0.2117242047
52	0.2105915267
53	0.2091815441
54	0.2080125539
55	0.2067940241
56	0.205668176
57	0.2040888009
58	0.2030108792
59	0.2014534431
60	0.200737392
61	0.1997780511
62	0.1991485752
63	0.1984158929
64	0.1973538529
65	0.196564694
66	0.1959421234
67	0.1947706103
68	0.193906658
69	0.1930232312
70	0.1924238339
71	0.1916661284
72	0.1910373212
73	0.1899633072
74	0.1890860414
75	0.1881811487
76	0.1874659135
77	0.1864923102
78	0.1857238394
79	0.184929106
80	0.1846013172
81	0.1839286353
82	0.1834059574
83	0.1829343623
84	0.1822532962
85	0.1818188358
86	0.1811253203
87	0.1802589892
88	0.1796783266
89	0.1790077341
90	0.1783160134
91	0.1780486034
92	0.1776363441
93	0.1770796331
94	0.1766877307
95	0.1761255772
96	0.1755371162
97	0.1749852771
98	0.1742070373
99	0.173808579
100	0.173386636
101	0.1731409909
102	0.1728692739
103	0.1724522244
104	0.1720052824
105	0.1713057312
106	0.1708068444
107	0.1703955939
108	0.1698581071
109	0.1696173997
110	0.1693239273
111	0.1684665554
112	0.1682908056
113	0.1679017477
114	0.1675803917
115	0.1671578551
116	0.1669031819
117	0.1664068178
118	0.1660286687
119	0.1657178159
120	0.165317469
121	0.1647578665
122	0.1644860263
123	0.164030996
124	0.1634815325
125	0.1629433717
126	0.1626982526
127	0.1623561138
128	0.1620735127
129	0.1617253183
130	0.1613508226
131	0.1607269939
132	0.1604286095
133	0.1600574334
134	0.1595725814
135	0.158917761
136	0.1585072294
137	0.1581900944
138	0.1578473362
139	0.1576105607
140	0.1572759137
141	0.1567904848
142	0.156585834
143	0.1563213838
144	0.1559788152
145	0.1556114767
146	0.1552010321
147	0.154925119
148	0.1544799994
149	0.1542691106
150	0.1538075963
151	0.1535451989
152	0.1531251489
153	0.1529206768
154	0.1526737799
155	0.1522486034
156	0.1519921821
157	0.1514754449
158	0.1511871678
159	0.1509348445
160	0.150735317
161	0.1504173286
162	0.1500893892
163	0.1498850914
164	0.1497811985
165	0.1493975244
166	0.1490838869
167	0.1488865753
168	0.148549716
169	0.1481845706
170	0.1479868981
171	0.1477080705
172	0.1473791048
173	0.1470908446
174	0.1469084195
175	0.1465519763
176	0.1462475768
177	0.1459040511
178	0.1457191178
179	0.1455120614
180	0.1453029571
181	0.1451278718
182	0.1447008214
183	0.1444023354
184	0.1440812802
185	0.1438952547
186	0.1437288392
187	0.1435454721
188	0.14317779
189	0.1428301265
190	0.1425023936
191	0.1423302873
192	0.1419983477
193	0.141778314
194	0.1415404405
195	0.1412278075
196	0.1410754048
197	0.1407847397
198	0.1404790914
199	0.140155277
200	0.1399554418
201	0.1397927813
202	0.1396420305
203	0.1395043256
204	0.1392909461
205	0.139022253
206	0.1387205177
207	0.1384148303
208	0.1382318291
209	0.137957689
210	0.1377391578
211	0.1375311104
212	0.1372900646
213	0.1369369194
214	0.1363952964
215	0.1361858834
216	0.1359790002
217	0.1358361192
218	0.135609903
219	0.135498473
220	0.1353454667
221	0.1351644135
222	0.1349811284
223	0.134699451
224	0.1345357062
225	0.1343622816
226	0.1342414456
227	0.1341171608
228	0.1338541688
229	0.133704077
230	0.1335244689
231	0.1333800448
232	0.1332230462
233	0.13306793
234	0.1328292842
235	0.132597831
236	0.1323704695
237	0.1322731978
238	0.1320691902
239	0.131844017
240	0.1316782888
241	0.1313808798
242	0.1311971791
243	0.1309887039
244	0.1308583265
245	0.1306084633
246	0.1304299213
247	0.1302810003
248	0.1300574692
249	0.1298933539
250	0.12972712
251	0.129477646
252	0.1293294013
253	0.1292254413
254	0.1290498526
255	0.1289214843
256	0.1288148483
257	0.1286604013
258	0.1285592725
259	0.1283925386
