Date	Type	Operator	Fatalities	GroundFatalities	Flight type	Phase	Location	Country	Latitude	Longitude	Category
5/6/2019	Sukhoi Superjet	Aeroflot	41		Passenger	Landing	Moscow	Russia			Emergency landing
5/13/2019	DHC-3T	Taquan	1		Passenger	En route	"Ketchikan, AK"	USA			Mid-air collision
6/27/2019	Antonov An-24	Angara	2		Passenger	Landing	Nizhneangarsk	Russia			Runway excursion
7/26/2019	Cessna 208	Seair	4		Passenger	En route	Addenbroke Island	Canada			CFIT
8/6/2019	Cessna 208B	Alkan Air	2		Passenger	En route	near Mayo	Canada			
9/11/2019	Convair CV-440	Ferreteria e Implementos S.F.	2		Cargo	Approach	"Toledo, OH"	USA			
9/18/2019	DHC-6	Rimbun Air	4		Cargo	En route	near Ilaga	Indonesia			CFIT
9/23/2019	Cessna 208B	Auric Air	2		Passenger	Takeoff	Seronera	Tanzania			
10/2/2019	Boeing B-17	The Collings Foundation	7		Passenger	Landing	"Windsor Locks, CT"	USA			Engine failure
10/4/2019	Antonov An-12	Ukraine Air Alliance	5		Cargo	Approach	nr Lviv	Ukraine			CFIT
10/17/2019	Saab 2000	PenAir	1		Passenger	Landing	"Unalaska, AK"	USA			Runway excursion
10/26/2019	DHC-3T	Blue Water Av. Svc	3		Passenger	Approach	"Family Lake, MB "	Canada			Structural failure
11/24/2019	Dornier 228	Busy Bee	21	6	Passenger	Takeoff	Goma	DRC			
12/9/2019	Cessna 208B	Martinaire	1		Cargo	En route	"near Victoria Regional Airport, TX"	USA			
12/24/2019	Cessna 208B	Calafia Airlines	2		Passenger	En route	Tastiota	Mexico			
12/27/2019	Fokker 100	Bek Air	12		Passenger	Takeoff	Almaty	Kazakhstan			Loss of control
1/8/2020	Boeing 737-800	Ukraine Int. Airlines	176		Passenger	En route	near Tehran	Iran			Shot down
2/5/2020	Boeing 737-800	Pegasus Airlines	3		Passenger	Landing	Istanbul	Turkey			Runway excursion
3/17/2020	Cessna 208B Super Cargomaster	Planemasters	1		Cargo	En route	"NW of La Crosse, KS"	USA			Loss of control
5/4/2020	Embraer EMB-120RT Brasilia	African Express Airways	6		Cargo	Approach	near Bardale Airstrip	Somalia			Shot down
5/22/2020	Airbus A320-214	PIA	97	1	Passenger	Approach	Karachi	Pakistan			Loss of control
8/7/2020	Boeing 737-800	Air India Express	21		Passenger	Landing	Kozhikode	India			Runway excursion
8/13/2020	Let L-410	Doren Air Congo	4		Cargo	Approach	near Bukavu	DR Congo			
8/22/2020	Antonov An-26B	South West Aviation	7		Cargo	Initial climb	near Juba	South Sudan			
1/9/2021	Boeing 737-500	Sriwijaya Air	62		Passenger	En route	off Jakarta	Indonesia			Loss of control
3/2/2021	Let L-410	South Sudan Supreme	10		Passenger	Initial climb	Pieri	South Sudan			Loss of control
6/16/2021	Let L-410	Kin Avia	3		Cargo	Initial climb	Bukavu	D.R.Congo			Loss of control
7/6/2021	Antonov An-26B	Kamchatka AE	28		Passenger	Approach	Palana	Russia			CFIT
9/12/2021	Let L-410	Aeroservice	4		Passenger	Approach	Kazachinskoye	Russia			
9/15/2021	DHC-6 Twin Otter	Rimbun Air	3		Cargo	Approach	near Bilogai/Sugapa	Indonesia			CFIT
10/25/2021	Cessna 208B	Smart Aviation	1		Cargo	Landing	Ilaga	Indonesia			
11/2/2021	Antonov An-26B	Optimum Aviation	5		Cargo	Initial climb	Juba	South Sudan			
12/10/2021	Merlin IV	Castle Aviation	1		Cargo	Approach	"Manchester, NH"	USA			
12/21/2021	Cessna 208B	Martinaire	1	1	Cargo	En route	"Fulshear, TX"	USA			MAC
12/23/2021	Shorts 360	Malu Aviation	5		Cargo	En route	near Shabunda	D.R. Congo			
